Load Factor,Average Number of probes to build table,Average insertion time,Average Number of probes to find an entry,Average time to find table entry,Average Number of probes to determine entry isn't present,Average time to determine entry isn't present
0.410000,0.3418080000,0.000312,0.328900,0.0000000000,0.926700,0.0000000000
0.420000,0.3587840000,0.000374,0.349800,0.0000000000,0.970100,0.0000000000
0.430000,0.3713340000,0.000344,0.372800,0.0000000000,1.010400,0.0000000000
0.440000,0.3891640000,0.000312,0.374400,0.0000000000,1.028900,0.0000000000
0.450000,0.4061180000,0.000654,0.399100,0.0000000000,1.145700,0.0000000000
0.460000,0.4158260000,0.000344,0.410900,0.0000000000,1.218800,0.0000000000
0.470000,0.4389180000,0.000344,0.419500,0.0000000000,1.280700,0.0000000000
0.480000,0.4569520000,0.000312,0.461400,0.0015000000,1.264900,0.0000000000
0.490000,0.4784360000,0.000312,0.472300,0.0016000000,1.434300,0.0000000000
0.500000,0.4977120000,0.000312,0.473500,0.0015000000,1.508900,0.0000000000
0.510000,0.5158460000,0.000536,0.508700,0.0000000000,1.598400,0.0000000000
0.520000,0.5323740000,0.000312,0.529500,0.0000000000,1.544700,0.0000000000
0.530000,0.5609660000,0.000312,0.520900,0.0000000000,1.661600,0.0000000000
0.540000,0.5836680000,0.000342,0.585400,0.0000000000,1.794700,0.0000000000
0.550000,0.6077660000,0.000312,0.599000,0.0000000000,1.937800,0.0016000000
0.560000,0.6252680000,0.000686,0.624800,0.0000000000,2.008600,0.0015000000
0.570000,0.6650420000,0.000344,0.650000,0.0000000000,2.253800,0.0016000000
0.580000,0.6821940000,0.000312,0.663300,0.0015000000,2.400700,0.0000000000
0.590000,0.7065940000,0.000348,0.683000,0.0000000000,2.450500,0.0000000000
0.600000,0.7425580000,0.000312,0.741400,0.0016000000,2.590300,0.0000000000
0.610000,0.7797460000,0.000344,0.763700,0.0000000000,2.795800,0.0015000000
0.620000,0.8058840000,0.000552,0.809800,0.0000000000,2.455700,0.0016000000
0.630000,0.8417660000,0.000342,0.811500,0.0000000000,3.108700,0.0016000000
0.640000,0.8872260000,0.000312,0.873000,0.0015000000,3.391000,0.0000000000
0.650000,0.9252500000,0.000376,0.872800,0.0000000000,3.366300,0.0000000000
0.660000,0.9698940000,0.000374,0.947800,0.0000000000,3.633400,0.0000000000
0.670000,1.0201980000,0.000374,1.006400,0.0000000000,4.060800,0.0000000000
0.680000,1.0519240000,0.000436,1.021000,0.0000000000,4.136300,0.0000000000
0.690000,1.1025960000,0.000376,1.122100,0.0015000000,4.682700,0.0000000000
0.700000,1.1542680000,0.000344,1.159200,0.0015000000,5.091000,0.0000000000
0.710000,1.2144300000,0.000376,1.183600,0.0000000000,5.367000,0.0000000000
0.720000,1.2702860000,0.000374,1.284000,0.0000000000,5.850100,0.0015000000
0.730000,1.3349040000,0.000500,1.276200,0.0000000000,6.284400,0.0000000000
0.740000,1.4148580000,0.000374,1.530000,0.0016000000,6.644700,0.0000000000
0.750000,1.4838380000,0.000374,1.432100,0.0000000000,7.432700,0.0016000000
0.760000,1.5681320000,0.000374,1.503400,0.0000000000,7.861800,0.0000000000
0.770000,1.6531660000,0.000376,1.572400,0.0000000000,8.731700,0.0000000000
0.780000,1.7735380000,0.000404,1.712200,0.0000000000,9.421700,0.0000000000
0.790000,1.8799780000,0.000436,1.856200,0.0000000000,10.668300,0.0016000000
0.800000,1.9869360000,0.000374,1.993500,0.0016000000,11.624300,0.0000000000
0.810000,2.1206800000,0.000406,1.993300,0.0000000000,13.234900,0.0015000000
0.820000,2.2820360000,0.000406,2.124800,0.0000000000,14.561200,0.0016000000
0.830000,2.4577580000,0.000404,2.467800,0.0000000000,16.575300,0.0016000000
0.840000,2.6243300000,0.000592,2.454200,0.0016000000,18.719700,0.0000000000
0.850000,2.8108460000,0.000406,2.798800,0.0015000000,20.154100,0.0000000000
0.860000,3.0338860000,0.000438,2.999300,0.0000000000,24.129500,0.0015000000
0.870000,3.3503580000,0.000438,3.105400,0.0000000000,28.193700,0.0015000000
0.880000,3.7081120000,0.000468,3.824400,0.0000000000,33.955600,0.0016000000
0.890000,4.2531220000,0.000436,3.990100,0.0016000000,35.356900,0.0016000000
0.900000,4.5205560000,0.000530,4.626900,0.0015000000,48.725500,0.0016000000
0.910000,5.0100360000,0.000500,4.878700,0.0000000000,57.724100,0.0015000000
0.920000,5.6935900000,0.000530,5.337000,0.0000000000,76.471800,0.0032000000
0.930000,6.7418120000,0.000530,6.760900,0.0015000000,99.687800,0.0032000000
0.940000,8.0172720000,0.000560,7.750600,0.0000000000,136.586600,0.0047000000
0.950000,10.2698520000,0.000594,10.012900,0.0015000000,131.506600,0.0047000000
0.960000,11.5631320000,0.000690,11.067800,0.0016000000,291.779600,0.0062000000
0.970000,15.9143720000,0.000812,16.257300,0.0015000000,571.460200,0.0156000000
0.980000,25.4163820000,0.001062,20.135000,0.0015000000,1092.488400,0.0312000000
0.990000,45.4654720000,0.001716,45.284700,0.0016000000,3940.818800,0.1248000000
1.000000,423.5453400000,0.014504,288.193200,0.0110000000,249949.224200,8.7773000000
