Load Factor,Average Number of probes to build table,Average insertion time,Average Number of probes to find an entry,Average time to find table entry,Average Number of probes to determine entry isn't present,Average time to determine entry isn't present
0.100000,0.0527340000,0.000374,0.051000,0.0015000000,0.106900,0.0000000000
0.110000,0.0584100000,0.000406,0.059300,0.0000000000,0.102700,0.0000000000
0.120000,0.0645960000,0.000344,0.059900,0.0000000000,0.137700,0.0015000000
0.130000,0.0716260000,0.003432,0.069500,0.0000000000,0.136000,0.0000000000
0.140000,0.0775320000,0.000280,0.077000,0.0016000000,0.186600,0.0000000000
0.150000,0.0853860000,0.000282,0.083500,0.0000000000,0.186500,0.0000000000
0.160000,0.0908920000,0.000282,0.085000,0.0000000000,0.197600,0.0000000000
0.170000,0.0988980000,0.000282,0.098300,0.0015000000,0.209400,0.0000000000
0.180000,0.1072100000,0.000344,0.105600,0.0016000000,0.250900,0.0000000000
0.190000,0.1137740000,0.000344,0.108800,0.0000000000,0.252700,0.0015000000
0.200000,0.1218320000,0.000312,0.115900,0.0000000000,0.256300,0.0000000000
0.210000,0.1287940000,0.000282,0.126100,0.0000000000,0.305600,0.0015000000
0.220000,0.1394600000,0.000282,0.137100,0.0000000000,0.298900,0.0015000000
0.230000,0.1461640000,0.000312,0.147100,0.0000000000,0.324600,0.0000000000
0.240000,0.1536960000,0.000312,0.151900,0.0000000000,0.356000,0.0000000000
0.250000,0.1628000000,0.000280,0.163100,0.0000000000,0.363500,0.0016000000
0.260000,0.1713240000,0.000436,0.181900,0.0000000000,0.365700,0.0000000000
0.270000,0.1804560000,0.000280,0.180600,0.0016000000,0.441100,0.0000000000
0.280000,0.1891820000,0.000312,0.185800,0.0000000000,0.460100,0.0000000000
0.290000,0.1994680000,0.000280,0.197300,0.0016000000,0.467800,0.0000000000
0.300000,0.2118140000,0.000312,0.204500,0.0000000000,0.499200,0.0000000000
0.310000,0.2187560000,0.000282,0.213700,0.0000000000,0.506100,0.0015000000
0.320000,0.2321440000,0.000530,0.232200,0.0000000000,0.560700,0.0000000000
0.330000,0.2438180000,0.000280,0.248900,0.0016000000,0.579700,0.0000000000
0.340000,0.2523340000,0.000312,0.256700,0.0000000000,0.620500,0.0016000000
0.350000,0.2645820000,0.000312,0.263600,0.0000000000,0.695100,0.0000000000
0.360000,0.2771520000,0.000344,0.282100,0.0015000000,0.712000,0.0000000000
0.370000,0.2886440000,0.000406,0.286900,0.0016000000,0.748300,0.0000000000
0.380000,0.3008180000,0.000312,0.306000,0.0015000000,0.786300,0.0000000000
0.390000,0.3164040000,0.001248,0.314600,0.0016000000,0.761800,0.0000000000
0.400000,0.3325440000,0.000312,0.340700,0.0000000000,0.876300,0.0016000000
